iso_o,iso_d,xtr2001
MYS,SGP,18569.98416
MYS,SWE,171.196384
MYS,THA,2527.680305
MYS,TUR,318.173266
MYS,TWN,2458.694824
MYS,USA,21968.23494
NOR,ARG,20.666594
NOR,AUS,100.446674
NOR,AUT,74.257788
NOR,BEL,425.870653
NOR,BRA,83.379268
NOR,CAN,117.043326
NOR,CHE,184.558851
NOR,CHL,44.981243
NOR,CHN,255.370437
NOR,DEU,2143.88119
NOR,DNK,943.076838
NOR,ESP,379.679136
NOR,FIN,461.071709
NOR,FRA,693.339836
NOR,GBR,1990.567217
NOR,GRC,190.712317
NOR,HUN,43.047335
NOR,IDN,29.627559
NOR,IND,52.094751
NOR,IRL,265.048416
NOR,ITA,471.466407
NOR,JPN,546.575868
NOR,KOR,282.95916
NOR,MEX,56.83239
NOR,MYS,58.042936
NOR,NOR,41163.51563
NOR,NZL,35.2348
NOR,PHL,28.060345
NOR,POL,284.395942
NOR,PRT,496.967403
NOR,SGP,221.919905
NOR,SWE,3095.112306
NOR,THA,77.152752
NOR,TUR,86.987977
NOR,TWN,105.1257324
NOR,USA,1589.668058
NZL,ARG,19.629678
NZL,AUS,2057.170924
NZL,AUT,4.209618
NZL,BEL,44.384476
NZL,BRA,32.166018
NZL,CAN,134.024392
NZL,CHE,9.451628
NZL,CHL,15.983575
NZL,CHN,598.717056
NZL,DEU,152.218069
NZL,DNK,22.260435
NZL,ESP,21.051911
NZL,FIN,7.546599
NZL,FRA,35.915071
NZL,GBR,281.835774
NZL,GRC,7.446231
NZL,HUN,3.343994
NZL,IDN,213.518711
NZL,IND,71.729125
NZL,IRL,16.73946
NZL,ITA,214.133335
NZL,JPN,1340.018537
NZL,KOR,640.655164
NZL,MEX,159.713237
NZL,MYS,261.383125
NZL,NOR,5.99925
NZL,NZL,13471.13281
NZL,PHL,198.714458
NZL,POL,4.697791
NZL,PRT,8.70221
NZL,SGP,131.679633
NZL,SWE,10.705697
NZL,THA,185.325205
NZL,TUR,16.399751
NZL,TWN,220.2461548
NZL,USA,1269.215984
PHL,ARG,26.745795
PHL,AUS,244.38778
PHL,AUT,64.824564
PHL,BEL,203.247613
PHL,BRA,120.242206
PHL,CAN,609.894412
PHL,CHE,62.383704
PHL,CHL,21.879117
PHL,CHN,1784.349522
PHL,DEU,1758.343858
PHL,DNK,25.616778
PHL,ESP,110.924091
PHL,FIN,55.981466
PHL,FRA,390.904242
PHL,GBR,1830.237651
PHL,GRC,10.349579
PHL,HUN,188.464816
PHL,IDN,122.826746
PHL,IND,78.027851
PHL,IRL,290.984104
PHL,ITA,144.386496
PHL,JPN,5348.390845
PHL,KOR,1654.970243
PHL,MEX,812.383783
PHL,MYS,1783.473923
PHL,NOR,33.274962
PHL,NZL,29.731885
PHL,PHL,40148.78516
PHL,POL,60.987461
PHL,PRT,18.11293
PHL,SGP,2490.526436
PHL,SWE,29.96938
PHL,THA,1351.888813
PHL,TUR,35.45485
PHL,TWN,1869.236084
PHL,USA,11161.85679
POL,ARG,28.285745
POL,AUS,25.796563
POL,AUT,613.573668
POL,BEL,1037.094077
POL,BRA,107.611579
POL,CAN,192.305426
POL,CHE,266.622971
POL,CHL,10.851446
POL,CHN,192.586104
POL,DEU,11423.45096
POL,DNK,751.49217
POL,ESP,673.988051
POL,FIN,217.15616
POL,FRA,1830.901484
POL,GBR,1588.278504
POL,GRC,121.225903
POL,HUN,665.188
POL,IDN,8.586356
POL,IND,74.227244
POL,IRL,85.277862
POL,ITA,1834.811097
POL,JPN,68.526369
POL,KOR,42.409074
POL,MEX,165.409638
POL,MYS,39.664709
POL,NOR,373.928708
POL,NZL,4.374633
POL,PHL,4.745509
POL,POL,102682.8906
POL,PRT,270.605722
POL,SGP,58.937073
POL,SWE,909.474839
POL,THA,71.939166
POL,TUR,163.521338
POL,TWN,52.31573105
POL,USA,928.681473
PRT,ARG,50.969699
PRT,AUS,90.397366
PRT,AUT,337.720357
PRT,BEL,1752.976598
PRT,BRA,134.804812
PRT,CAN,156.578756
